ID,Loot Times,Activity Times
0,353,0
17004,36,0
12004,475,0
13006,114,0
13005,46,0
13004,98,0
20000016,49,0
14006,25,0
11004,86,0
13001,36,0
12001,72,0
18004,118,0
11005,150,0
10002,128,0
18005,132,0
17006,32,0
12003,19,0
20000017,74,0
10001,59,0
12006,55,0
15001,55,0
18006,98,0
18001,61,0
16003,8,0
10003,25,0
16005,20,0
15006,66,0
11001,31,0
15005,49,0
15004,70,0
11002,26,0
12002,25,0
16004,20,0
11006,21,0
12005,40,0
18002,45,0
11003,15,0
16006,4,0
18003,18,0
16002,14,0
100031,19,0
17002,16,0
15002,23,0
14004,48,0
180031,4,0
17001,49,0
13003,6,0
9997,8,0
17005,42,0
14001,7,0
120031,6,0
16001,18,0
10000,20,0
160031,2,0
15003,8,0
13002,4,0
14005,21,0
10006,2,0
14002,10,0
10004,4,0
150031,8,0
17003,6,0
14003,2,0
140031,4,0
10005,2,0
